,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
42,11000044,1,SPD,1925,Bundesminister a. D.,Deutschland,Arendt,Walter,"['4', '5', '6', '7', '8']","['Direktwahl', 'Landesliste', 'Landesliste', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,11000045,1,FU,1918,Rechtsanwalt,Deutschland,Aretin,Anton,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11000046,1,CDU,1894,Minister a. D.,Deutschland,Arndgen,Josef,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11000047,1,SPD,1904,Rechtsanwalt,Deutschland,Arndt,Adolf,"['1', '2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11000048,1,SPD,1927,Senatsdirektor,Deutschland,Arndt,Claus,"['5', '6', '7']","['Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,11000049,1,SPD,1927,Volkswirt,Deutschland,Arndt,Klaus Dieter,"['5', '6', '7']","['Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,11000050,1,SPD,1894,Verwaltungsbeamter a. D.,Deutschland,Arnholz,Otto,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11000051,1,CDU,1933,Rechtsanwalt,Deutschland,Arnold,Gottfried,"['4', '5', '6', '7', '8', '9']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
50,11000052,1,CDU,1901,Ministerpräsident a. D.,Deutschland,Arnold,Karl,['3'],['Direktwahl'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11000053,0,FU,1882,Rektorin a. D.,Deutschland,Arnold,Thea,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,11000054,1,CDU,1912,Prokurist,Deutschland,Artzinger,Helmut,"['4', '5', '6', '7']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,11000055,1,FDP,1899,Rechtsanwalt,Deutschland,Aschoff,Albrecht,['4'],['Landesliste'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11000056,1,SPD,1931,"Bezirksleiter, Gewerkschaftssekretär",Deutschland,Assmann,Heinz,['9'],['Landesliste'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,11000057,1,FDP,1895,Fabrikant,Deutschland,Atzenroth,Karl,"['3', '4', '1', '2']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,11000058,1,SPD,1941,"Werkzeugmacher, Geschäftsführer",Deutschland,Auch,Dieter,['9'],['Landesliste'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,11000059,1,SPD,1898,"Rektor a. D., Oberbürgermeister",Deutschland,Auge,Heinrich,"['3', '4', '5']","['Landesliste', 'Direktwahl', 'Direktwahl']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,11000060,1,SPD,1925,Rechtsanwalt,Deutschland,Augstein,Hans-Jürgen,"['7', '8']","['Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,11000061,1,FDP,1923,Verleger,Deutschland,Augstein,Rudolf,['7'],['Landesliste'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,11000062,0,CDU,1930,Apothekerin,Deutschland,Augustin,Anneliese,"['10', '11', '12', '13']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
61,11000063,1,CDU,1964,Bankkaufmann,Deutschland,Augustinowitz,Jürgen,"['12', '13']","['Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
62,11000064,1,GRÜNE,1951,Studienassessor,Deutschland,Auhagen,Hendrik,['10'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,11000065,1,BP,1915,Staatskommissar a. D.,Deutschland,Aumer,Hermann,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,11000066,1,CDU,1941,"Rechtsanwalt, Stadtdirektor a. D.",Deutschland,Austermann,Dietrich,"['9', '10', '11', '12', '13', '14', '15']","['Landesliste', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
65,11000067,1,SPD,1921,Oberwerkmeister,Deutschland,Baack,Herbert,"['6', '7', '8', '9']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
66,11000068,1,SPD,1893,o. Universitätsprofessor,Deutschland,Baade,Fritz,"['1', '2', '3', '4']","['Landesliste', 'Landesliste', 'Landesliste', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,11000069,0,FDP,1938,Hausfrau,Deutschland,Babel,Gisela,"['12', '13']","['Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
68,11000070,1,CDU,1917,Botschafter z. D.,Deutschland,Bach,Franz Josef,['6'],['Direktwahl'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,11000071,1,SPD,1901,Bergmann,Deutschland,Bach,Robert,['3'],['Landesliste'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,11000072,1,SPD,1939,Rechtsanwalt,Deutschland,Bachmaier,Hermann,"['10', '11', '12', '13', '14', '15']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
71,11000073,1,SPD,1901,Dipl.-Landwirt,Deutschland,Bading,Harri,"['3', '4', '5']","['Landesliste', 'Direktwahl', 'Direktwahl']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,11000074,1,SPD,1920,Arzt,Deutschland,Bärsch,Siegfried,"['1', '2', '3']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,11000075,1,SPD,1922,Bürgermeister,Deutschland,Baeuchle,Hans-Joachim,['6'],['Landesliste'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,11000076,1,SPD,1926,Technischer Zeichner,Deutschland,Bäuerle,Willi,"['4', '5', '6', '7']","['Landesliste', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
