WP-JAHRE,NUMIND,ID,ANFANG,VORNAME,NACHNAME,ALTER,GESCHLECHT,PARTEI_KURZ,BERUF,AUSLAND,MANDATSART,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
1949-1953;01,56,11000283,1949,Karl,Brunner,44,1,SPD,"Chefredakteur, Lehrer",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,57,11000287,1949,Gerd,Bucerius,43,1,Union,"Rechtsanwalt, Verleger",0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,58,11000319,1949,Carl,Campe,55,1,Andere,Diplomat,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,59,11000329,1949,Hermann,Clausen,64,1,Andere,Reichsbahnobersekretär i. R.,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,60,11000340,1949,Johann,Cramer,44,1,SPD,"Verlagsleiter, Chefredakteur",0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,61,11000355,1949,Otto,Dannebom,45,1,SPD,Bergmann,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,62,11000356,1949,Robert,Dannemann,47,1,FDP,Landwirtschaftsrat,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,63,11000362,1949,Hugo,Decker,50,1,Andere,Dipl.-Ingenieur,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,64,11000363,1949,Johannes,Degener,60,1,Union,"Journalist, Kaufmann, Angestellter",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,65,11000364,1949,Thomas,Dehler,52,1,FDP,"Vizepräsident DBT a. D., Rechtsanwalt",0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
