WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE
2017-;19,11002754,1,Union,1962,"Politikwissenschaftler, Parl. Staatssekretär",Deutschland,Rachel,Thomas,"['13', '14', '15', '16', '17', '18', '19']","[1, 0, 0, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002765,1,Union,1965,"Rechtsanwalt, Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit a. D.",Deutschland,Röttgen,Norbert,"['13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002798,1,Union,1956,Diplom Mathematiker,Deutschland,Selle,Johannes,"['13', '17', '18', '19']","[1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2017-;19
2017-;19,11002812,1,Union,1954,"Versicherungsfachmann, Selbständiger Generalvertreter, Landwirtschaftsmeister",Deutschland,Straubinger,Max,"['13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
2017-;19,11002823,0,SPD,1964,Rechtsanwältin,Deutschland,Vogt,Ute,"['13', '14', '15', '17', '18', '19']","[0, 1, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2017-;19
2017-;19,11003033,1,Union,1952,"Parl. Staatssekretär, Ministerialrat a. D.",Deutschland,Barthle,Norbert,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003034,1,Die Linke,1958,Wirtschaftswissenschaftler,Deutschland,Bartsch,Dietmar,"['14', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2017-;19
2017-;19,11003050,1,SPD,1950,"Starkstromelektriker, Mathematiker",Deutschland,Binding,Lothar,"['14', '15', '16', '17', '18', '19']","[1, 1, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003055,1,Union,1967,"Wissenschaftlicher Assistent, Parl. Staatssekretär",Deutschland,Brauksiepe,Ralf,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003068,0,Bündnis 90/Die Grünen,1971,Dipl.-Verwaltungswissenschaftlerin,Türkei,Deligöz,Ekin,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003070,0,Union,1953,Einzelhandelskauffrau,Deutschland,Dött,Marie-Luise,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003118,1,Union,1966,"Dipl.-Ingenieur, Elektroinstallateur",Deutschland,Fischer,Axel E.,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003124,1,Union,1957,"Bundesminister a. D., Jurist, Vizepräsident DBT",Deutschland,Friedrich,Hans-Peter,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003132,0,Bündnis 90/Die Grünen,1966,Vizepräsidentin DBT a. D.,Deutschland,Göring-Eckardt,Katrin Dagmar,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003142,1,SPD,1972,Politikwissenschaftler,Deutschland,Heil,Hubertus,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003148,1,SPD,1958,Chemielaborant,Deutschland,Herzog,Gustav,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003152,1,AfD,1948,"Bürgermeister a. D., Volljurist",Deutschland,Hohmann,Martin,"['14', '15', '19']","[1, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2017-;19
2017-;19,11003157,1,SPD,1963,Jurist,Deutschland,Kahrs,Johannes,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003162,0,SPD,1967,"Rechtsanwältin und Fachanwältin für Arbeitsrecht, Parl. Staatssekretärin",Deutschland,Kramme,Anette,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003167,0,SPD,1965,"Rechtsanwältin, Parl. Staatssekretärin",Deutschland,Lambrecht,Christine,"['14', '15', '16', '17', '18', '19']","[1, 1, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003168,1,SPD,1964,"Oberregierungsrat a. D., Parl. Staatssekretär",Deutschland,Lange,Christian,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003196,0,SPD,1970,"Bundesministerin a. D., Literaturwissenschaftlerin M. A.",Deutschland,Nahles,Andrea,"['14', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2017-;19
2017-;19,11003197,0,Die Linke,1958,Agraringenieurin,Deutschland,Naumann,Kersten,"['14', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2017-;19
2017-;19,11003199,1,SPD,1964,Angestellter,Deutschland,Nietan,Dietmar,"['14', '15', '17', '18', '19']","[1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2017-;19
2017-;19,11003206,0,Die Linke,1963,"Vizepräsidentin DBT, Lehrerin",Deutschland,Pau,Petra,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003210,1,SPD,1964,Dipl.-Biologe,Deutschland,Röspel,René,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003211,1,SPD,1951,Dipl.-Psychologe,Deutschland,Rossmann,Ernst Dieter,"['14', '15', '16', '17', '18', '19']","[1, 1, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003212,0,Bündnis 90/Die Grünen,1955,"Vizepräsidentin DBT, Dramaturgin",Deutschland,Roth,Claudia,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003213,1,SPD,1970,"Dipl.-Politologe, Staatsminister für Europa, Auswärtiges Amt",Deutschland,Roth,Michael,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003216,0,Union,1951,Angestellte,Deutschland,Schäfer,Anita,"['14', '15', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003218,1,SPD,1976,Bankkaufmann,Deutschland,Schneider,Carsten,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003234,1,SPD,1954,"Dipl.-Betriebswirt  (FH), Marketing- und Kommunikationsberater",Deutschland,Schurer,Ewald,"['14', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2017-;19
2017-;19,11003246,1,Bündnis 90/Die Grünen,1954,"Dipl.-Sozialwirt, Journalist, Bundesminister a. D.",Deutschland,Trittin,Jürgen,"['14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003248,1,Union,1955,"Diplom-Mathematiker, Staatsminister a. D.",Deutschland,Vaatz,Arnold,"['18', '19', '14', '15', '16', '17']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
2017-;19,11003255,1,Union,1956,"Referatsleiter, Geschäftsführer",Deutschland,Weiß,Peter,"['14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2017-;19
