,VORNAME,NACHNAME,WP20
285,Kathrin,Vogler,1
286,Johann,Wadephul,1
287,Sahra,Wagenknecht,1
288,Daniela,Wagner,1
289,Harald,Weinberg,0
290,Sabine,Weiss,1
291,Katrin,Werner,1
292,Dagmar,Ziegler,0
293,Matthias,Zimmer,1
294,Harald,Ebner,1
295,Tobias,Lindner,1
296,Beate,Walter-Rosenheimer,1
297,Manfred,Todtenhausen,0
298,Wolfgang,Hellmich,0
299,Hagen,Reinhold,1
300,Stephan,Albani,0
301,Luise,Amtsberg,1
302,Heike,Baehrens,0
303,Annalena,Baerbock,1
304,Ulrike,Bahr,0
305,Katarina,Barley,1
306,Matthias,Bartke,1
307,Maik,Beermann,1
308,Sybille,Benning,1
309,André,Berghegger,1
310,Franziska,Brantner,1
311,Karl-Heinz,Brunner,0
312,Lars,Castellucci,1
313,Bernhard,Daldrup,0
314,Karamba,Diaby,0
315,Sabine,Dittmar,0
316,Michael,Donth,1
317,Katharina,Dröge,1
318,Hansjörg,Durz,1
319,Saskia,Esken,0
320,Hermann,Färber,1
321,Johannes,Fechner,1
322,Uwe,Feiler,1
323,Fritz,Felgentreu,1
324,Ulrich,Freese,0
325,Thorsten,Frei,1
326,Matthias,Gastel,1
327,Ursula,Groden-Kranich,1
328,Klaus-Dieter,Gröhler,1
329,Uli,Grötsch,1
330,Oliver,Grundmann,1
331,Fritz,Güntzler,0
332,Christian,Haase,1
333,Rita,Hagl-Kehl,1
334,André,Hahn,1
335,Metin,Hakverdi,1
336,Sebastian,Hartmann,1
337,Matthias,Hauer,1
338,Mark,Hauptmann,1
339,Dirk,Heidenblut,1
340,Gabriela,Heinrich,0
341,Marcus,Held,1
342,Mark,Helfrich,1
343,Heribert,Hirte,1
344,Thomas,Hitschler,1
345,Alexander,Hoffmann,1
346,Hendrik,Hoppenstedt,1
347,Erich,Irlstorfer,1
348,Dieter,Janecek,1
349,Frank,Junge,1
350,Thomas,Jurk,1
351,Ralf,Kapschack,1
352,Anja,Karliczek,1
353,Kerstin,Kassner,0
354,Gabriele,Katzmarek,0
355,Georg,Kippels,1
356,Cansel,Kiziltepe,1
357,Arno,Klare,1
358,Markus,Koob,1
359,Carsten,Körber,1
360,Christian,Kühn,1
361,Roy,Kühne,1
362,Silke,Launert,1
363,Katja,Leikert,1
364,Andreas,Lenz,1
365,Antje,Lezius,1
366,Andrea,Lindholz,1
367,Yvonne,Magwas,1
368,Matern,Marschall von Bieberstein,1
369,Jan,Metzler,1
370,Irene,Mihalic,1
371,Klaus,Mindrup,1
372,Susanne,Mittag,0
373,Karsten,Möring,0
374,Elisabeth,Motschmann,0
375,Bettina,Müller,0
376,Michelle,Müntefering,1
377,Alexander S.,Neu,1
378,Andreas,Nick,1
379,Ulli,Nissen,0
380,Wilfried,Oellers,1
381,Florian,Oßner,1
382,Mahmut,Özdemir,1
383,Sylvia,Pantel,1
384,Martin,Patzelt,0
385,Detlev,Pilger,0
386,Sabine,Poschmann,1
387,Achim,Post,1
388,Florian,Post,1
389,Martin,Rabanus,1
390,Kerstin,Radomski,1
391,Alexander,Radwan,1
392,Alois,Rainer,1
393,Martina,Renner,1
394,Daniela,De Ridder,0
395,Andreas,Rimkus,1
396,Dennis,Rohde,1
397,Martin,Rosemann,1
398,Corinna,Rüffer,1
399,Susann,Rüthrich,1
400,Bernd,Rützel,1
401,Johann,Saathoff,1
402,Ulle,Schauws,1
403,Nina,Scheer,1
404,Udo,Schiefner,0
405,Jana,Schimke,1
406,Dagmar,Schmidt,1
407,Ursula,Schulte,0
408,Kordula,Schulz-Asche,0
409,Klaus-Peter,Schulze,1
410,Andreas,Schwarz,1
411,Tino,Sorge,1
412,Rainer,Spiering,0
413,Svenja,Stadler,1
414,Martina,Stamm-Fibich,0
415,Wolfgang,Stefinger,1
416,Albert,Stegemann,1
417,Peter,Stein,1
418,Sebastian,Steineke,1
419,Johannes,Steiniger,1
420,Claudia,Tausend,0
421,Michael,Thews,1
422,Carsten,Träger,1
423,Volker,Ullrich,1
424,Oswin,Veith,1
425,Julia,Verlinden,1
426,Dirk,Vöpel,1
427,Kees,Vries,1
428,Gabi,Weber,0
429,Albert,Weiler,1
430,Anja,Weisgerber,1
431,Marian,Wendt,1
432,Bernd,Westphal,1
433,Kai,Whittaker,1
434,Dirk,Wiese,1
435,Oliver,Wittke,0
436,Gülistan,Yüksel,0
437,Hubertus,Zdebel,0
438,Emmi,Zeulner,1
439,Stefan,Zierke,1
440,Pia,Zimmermann,0
441,Jens,Zimmermann,1
442,Christian,Petry,1
443,Norbert,Müller,1
444,Angelika,Glöckner,0
445,Ronja,Schmitt,1
446,Sarah,Ryglewski,1
447,Markus,Uhl,1
448,Michael,Abercron,0
449,Doris,Achelwilm,1
450,Grigorios,Aggelidis,1
451,Gökay,Akbulut,1
452,Renata,Alt,0
453,Norbert Maria,Altenkamp,1
454,Philipp,Amthor,1
455,Lisa,Badum,1
456,Simone,Barrientos,1
457,Nicole,Bauer,1
458,Bernd,Baumann,0
459,Margarete,Bause,1
460,Danyal,Bayaz,1
461,Canan,Bayram,1
462,Jens,Beeck,1
463,Olaf,In der Beek,1
464,Nicola,Beer,1
465,Marc,Bernhard,1
466,Melanie,Bernstein,1
467,Christoph,Bernstiel,1
468,Lorenz Gösta,Beutin,1
469,Marc,Biadacz,1
470,Andreas,Bleck,1
471,Peter,Boehringer,1
472,Jens,Brandenburg,1
473,Mario,Brandenburg,1
474,Stephan,Brandner,1
475,Michel,Brandt,1
476,Jürgen,Braun,0
477,Silvia,Breher,1
478,Sebastian,Brehm,1
479,Leni,Breymaier,0
480,Carsten,Brodesser,1
481,Katrin,Budde,1
482,Marcus,Bühl,1
483,Birke,Bull-Bischoff,1
484,Karlheinz,Busen,0
485,Matthias,Büttner,1
486,Petr,Bystron,1
487,Jörg,Cezanne,1
488,Anna,Christmann,1
489,Tino,Chrupalla,1
490,Joana,Cotar,1
491,Carl-Julius,Cronenberg,0
492,Gottfried,Curio,0
493,Astrid,Damerow,1
494,Britta Katharina,Dassler,0
495,Esther,Dilcher,1
496,Anke,Domscheit-Berg,1
497,Siegbert,Droese,1
498,Christian,Dürr,1
499,Hartmut,Ebbing,0
500,Thomas,Ehrhorn,0
501,Berengar,Elsner von Gronow,1
502,Thomas,Erndl,1
503,Wiebke,Esdar,1
504,Michael,Espendiller,1
505,Marcus,Faber,1
506,Yasmin,Fahimi,1
507,Peter,Felser,1
508,Susanne,Ferschl,1
509,Daniel,Föst,1
510,Brigitte,Freihold,0
511,Dietmar,Friedhoff,1
512,Anton,Friesen,1
513,Markus,Frohnmaier,1
514,Götz,Frömming,1
515,Sylvia,Gabelmann,0
516,Alexander,Gauland,0
517,Axel,Gehrke,0
518,Stefan,Gelbhaar,1
519,Albrecht,Glaser,0
520,Franziska,Gminder,0
521,Eckhard,Gnodtke,1
522,Wilhelm,Gottberg,0
523,Kay,Gottschalk,1
524,Timon,Gremmels,1
525,Erhard,Grundl,1
526,Thomas,Hacker,1
527,Armin-Paulus,Hampel,0
528,Mariana Iris,Harder-Kühnel,1
529,Verena,Hartmann,1
530,Roland,Hartwig,0
531,Jochen,Haug,1
532,Martin,Hebner,0
533,Thomas,Heilmann,1
534,Katrin,Helling-Plahr,1
535,Udo Theodor,Hemmelgarn,0
536,Marc,Henrichmann,1
537,Markus,Herbrand,1
538,Torsten,Herbst,1
539,Waldemar,Herdt,0
540,Lars,Herrmann,1
541,Martin,Hess,1
542,Katja,Hessel,1
543,Heiko,Heßenkemper,0
544,Karsten,Hilse,1
545,Nicole,Höchst,1
546,Gero Clemens,Hocker,1
547,Bettina,Hoffmann,1
548,Christoph,Hoffmann,0
549,Matthias,Höhn,1
550,Bruno,Hollnagel,0
551,Leif-Erik,Holm,1
552,Ottmar,Holtz,1
553,Reinhard,Houben,0
554,Johannes,Huber,1
555,Ulla,Ihnen,0
556,Hans-Jürgen,Irmer,0
557,Fabian,Jacobi,1
558,Marc,Jongen,1
559,Christian,Jung,1
560,Ingmar,Jung,1
561,Elisabeth,Kaiser,1
562,Uwe,Kamann,0
563,Kirsten,Kappert-Gonther,1
564,Torbjörn,Kartes,1
565,Thomas L.,Kemmerich,1
566,Achim,Kessler,1
567,Jens,Kestner,1
568,Stefan,Keuter,1
569,Michael,Kießling,1
570,Karsten,Klein,1
571,Norbert,Kleinwächter,1
572,Marcel,Klinge,1
573,Katharina,Kloke,1
574,Daniela,Kluckert,1
575,Lukas,Köhler,1
576,Enrico,Komning,1
577,Jörn,König,1
578,Carina,Konrad,1
579,Elvan,Korkmaz,1
580,Steffen,Kotré,1
581,Rainer,Kraft,1
582,Alexander,Krauß,1
583,Michael,Kuffer,1
584,Konstantin,Kuhle,1
585,Alexander,Kulitz,1
586,Alexander,Lambsdorff,1
587,Ulrich,Lechte,1
588,Jens,Lehmann,1
589,Sven,Lehmann,1
590,Helge,Lindh,1
591,Nikolas,Löbel,1
592,Bernhard,Loos,1
593,Rüdiger,Lucassen,0
594,Heiko,Maas,1
595,Frank,Magnitz,0
596,Jens,Maier,0
597,Lothar,Maier,0
598,Birgit,Malsack-Winkemann,0
599,Astrid,Mannes,1
600,Till,Mansmann,1
601,Jürgen,Martens,0
602,Fabio,De Masi,1
603,Pascal,Meiser,1
604,Christoph,Meyer,1
605,Corinna,Miazga,1
606,Mario,Mieruch,1
607,Amira,Mohamed Ali,1
608,Falko,Mohrs,1
609,Claudia,Moll,1
610,Siemtje,Möller,1
611,Andreas,Mrosek,0
612,Alexander,Müller,1
613,Axel,Müller,1
614,Claudia,Müller,1
615,Hansjörg,Müller,1
616,Sepp,Müller,1
617,Roman,Müller-Böhm,1
618,Frank,Müller-Rosentritt,1
619,Volker,Münz,1
620,Sebastian,Münzenmaier,1
621,Zaklin,Nastic,1
622,Christoph,Neumann,1
623,Petra,Nicolaisen,1
624,Jan Ralf,Nolte,1
625,Ulrich,Oehme,0
626,Josephine,Ortleb,1
627,Josef,Oster,1
628,Gerold,Otten,0
629,Frank,Pasemann,0
630,Sören,Pellmann,1
631,Victor,Perli,1
632,Tobias Matthias,Peterka,1
633,Frauke,Petry,1
634,Tobias,Pflüger,1
635,Stephan,Pilsinger,1
636,Christoph,Ploß,1
637,Paul Viktor,Podolay,0
638,Jürgen,Pohl,1
639,Filiz,Polat,1
640,Stephan,Protschka,1
641,Martin,Reichardt,1
642,Martin Erwin,Renner,0
643,Roman Johannes,Reusch,0
644,Bernd,Reuther,1
645,Bernd,Riexinger,0
646,Manuela,Rottmann,1
647,Stefan,Rouenhoff,1
648,Thomas,Sattelberger,0
649,Stefan,Sauer,1
650,Christian,Sauter,1
651,Ulrike,Schielke-Ziesing,1
652,Wieland,Schinnenburg,0
653,Robby,Schlund,1
654,Nils,Schmid,1
655,Stefan,Schmidt,1
656,Uwe,Schmidt,1
657,Claudia,Schmidtke,1
658,Jörg,Schneider,1
659,Johannes,Schraps,1
660,Eva-Maria,Schreiber,0
661,Felix,Schreiner,1
662,Michael,Schrodi,1
663,Manja,Schüle,1
664,Martin,Schulz,0
665,Uwe,Schulz,0
666,Torsten,Schweiger,1
667,Matthias,Seestern-Pauly,1
668,Thomas,Seitz,1
669,Martin,Sichert,1
670,Björn,Simon,1
671,Frank,Sitta,1
672,Helin Evrim,Sommer,1
673,Detlev,Spangenberg,0
674,Dirk,Spaniel,1
675,René,Springer,1
676,Katrin,Staffler,1
677,Bettina,Stark-Watzinger,1
678,Andreas,Steier,1
679,Mathias,Stein,1
680,Beatrix,Storch,1
681,Marie-Agnes,Strack-Zimmermann,0
682,Friedrich,Straetmanns,1
683,Benjamin,Strasser,1
684,Margit,Stumpp,1
685,Katja,Suding,1
686,Jessica,Tatti,1
687,Hermann-Josef,Tebroke,1
688,Linda,Teuteberg,1
689,Michael,Theurer,1
690,Hans-Jürgen,Thies,1
691,Alexander,Throm,1
692,Dietlind,Tiemann,0
693,Markus,Töns,1
694,Andrew,Ullmann,1
695,Gerald,Ullrich,0
696,Kerstin,Vieregge,1
697,Christoph,Vries,1
698,Andreas,Wagner,1
699,Sandra,Weeser,1
700,Alice,Weidel,1
701,Nicole,Westig,1
702,Harald,Weyel,0
703,Wolfgang,Wiehle,1
704,Bettina Margarethe,Wiesmann,1
705,Heiko,Wildberg,0
706,Christian,Wirth,1
707,Uwe,Witt,0
708,Paul,Ziemiak,1
709,Gyde,Jensen,1
710,Marja-Liisa,Völlers,1
