WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000167,1,SPD,1906,Geschäftsführer,Deutschland,Bettgenhäuser,Emil,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,43
1949-1953,11000174,0,DP,1906,Angestellte,Deutschland,Bieganowski,Anna Maria,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,43
1949-1953,11000177,1,SPD,1898,Redakteur,Deutschland,Bielig,Karl,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,51
1949-1953,11000182,1,SPD,1913,Geschäftsführer,Deutschland,Birkelbach,Willi,"['1', '2', '3', '4']","['Direktwahl', 'Landesliste', 'Landesliste', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,36
1949-1953,11000190,1,SPD,1911,Journalist,Deutschland,Blachstein,Peter,"['1', '2', '3', '4', '5']","['Direktwahl', 'Landesliste', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,38
1949-1953,11000193,1,FDP,1897,Direktor,Deutschland,Blank,Martin,"['1', '2']","['Landesliste', 'Landesliste']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,52
1949-1953,11000195,1,CDU,1905,Bundesminister a. D.,Deutschland,Blank,Theodor,"['1', '2', '3', '4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste']",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,44
1949-1953,11000196,1,SPD,1904,Betriebsdirektor,Deutschland,Bleiß,Paul,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000202,1,DP,1896,Bundesminister a. D.,Deutschland,Blücher,Franz,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Direktwahl']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,53
1949-1953,11000213,1,CSU,1912,Landrat a. D.,Deutschland,Bodensteiner,Hans,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,37
